dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
diabetes_130,diabetes_130_ama_n623,logreg,42,125,0.856,0.8387096774193549,race,AfricanAmerican,0.06097560975609756,0.04285714285714286,0.16129032258064516,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,logreg,43,125,0.848,0.8202247191011236,race,Caucasian,0.033707865168539325,0.125,0.1797752808988764,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,logreg,44,125,0.832,0.0,race,Asian,1.0,0.02666666666666667,1.0,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,logreg,45,125,0.832,0.8072289156626506,race,Caucasian,0.04819277108433735,0.1,0.1927710843373494,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,logreg,46,125,0.808,0.0,race,Asian,1.0,0.047888386123680245,1.0,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,mlp,42,125,0.856,0.8064516129032258,race,AfricanAmerican,0.0,0.0,0.1935483870967742,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,mlp,43,125,0.856,0.8314606741573034,race,Caucasian,0.0,0.0,0.16853932584269662,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,mlp,44,125,0.856,0.0,race,Other,0.0,0.0,1.0,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,mlp,45,125,0.824,0.7831325301204819,race,Caucasian,0.04819277108433735,0.057971014492753624,0.21686746987951808,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,mlp,46,125,0.816,0.0,race,Asian,1.0,0.033182503770739065,1.0,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,xgboost,42,125,0.816,0.7741935483870968,race,AfricanAmerican,0.07317073170731707,0.16666666666666666,0.22580645161290322,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,xgboost,43,125,0.824,0.7692307692307693,gender,Female,0.08798735511064279,0.13333333333333333,0.23076923076923078,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,xgboost,44,125,0.84,0.0,race,Asian,1.0,0.15384615384615385,1.0,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,xgboost,45,125,0.808,0.7710843373493976,race,Caucasian,0.10843373493975904,0.2,0.2289156626506024,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_ama_n623,xgboost,46,125,0.84,0.0,race,Asian,1.0,0.17647058823529413,1.0,0.7201462450468774,0.4323450137249083,0.2777767835797958,0.13888391789897886,,ML
diabetes_130,diabetes_130_expired_n1652,mlp,42,331,0.9818731117824774,0.976,race,Caucasian,0.024,,0.024,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,mlp,43,331,0.9003021148036254,0.75,race,nan,0.25,,0.25,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,mlp,44,331,0.9577039274924471,0.0,race,Asian,1.0,,1.0,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,mlp,45,331,0.9848942598187311,0.9810606060606061,race,Caucasian,0.01893939393939394,,0.01893939393939394,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,mlp,46,331,0.5347432024169184,0.2,race,nan,0.8,,0.8,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,xgboost,42,331,1.0,1.0,race,AfricanAmerican,0.0,,0.0,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,xgboost,43,331,1.0,1.0,race,AfricanAmerican,0.0,,0.0,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,xgboost,44,331,1.0,1.0,race,AfricanAmerican,0.0,,0.0,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,xgboost,45,331,1.0,1.0,race,AfricanAmerican,0.0,,0.0,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_expired_n1652,xgboost,46,331,1.0,1.0,race,AfricanAmerican,0.0,,0.0,0.7212664015235063,0.432345013732826,0.256578149769891,0.09955741551612159,,ML
diabetes_130,diabetes_130_home_n15000,logreg,42,3000,0.8986666666666666,0.75,race,Asian,0.025,0.03508771929824561,0.22560975609756098,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,logreg,43,3000,0.897,0.8825448613376835,race,AfricanAmerican,0.022222222222222223,0.023809523809523808,0.11745513866231648,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,logreg,44,3000,0.895,0.8688524590163934,race,Hispanic,0.00859106529209622,0.03389830508474576,0.08114754098360656,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,logreg,45,3000,0.8983333333333333,0.893687707641196,race,AfricanAmerican,0.0036704601598417557,0.031446540880503145,0.06283403148923877,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,logreg,46,3000,0.8976666666666666,0.8931034482758621,race,AfricanAmerican,0.021739130434782608,0.022727272727272728,0.07832512315270937,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,mlp,42,3000,0.8976666666666666,0.75,race,Asian,0.0,0.0,0.22560975609756098,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,mlp,43,3000,0.898,0.8858075040783034,race,AfricanAmerican,0.022222222222222223,0.023809523809523808,0.11419249592169657,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,mlp,44,3000,0.8963333333333333,0.8688524590163934,race,Hispanic,0.014084507042253521,0.03389830508474576,0.08114754098360656,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,mlp,45,3000,0.8986666666666666,0.895224518888097,gender,Male,0.0022789425706472195,0.017543859649122806,0.061297220242337844,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,mlp,46,3000,0.8986666666666666,0.8941918054930211,race,Caucasian,0.015873015873015872,0.3333333333333333,0.07723676593555028,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
diabetes_130,diabetes_130_home_n15000,xgboost,42,3000,0.899,0.75,race,Asian,0.004041311180960934,0.031839021905247074,0.22560975609756098,0.7361794957430191,0.43234501368216444,0.25612147611555425,0.09727404724443788,,ML
