dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
german_credit,german_credit_slice_00_n400,logreg,42,80,0.725,0.5294117647058824,age_bin,<=25,0.36363636363636365,0.625,0.47058823529411764,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,logreg,43,80,0.7625,0.625,age_bin,<=25,0.1960784313725491,0.7142857142857143,0.375,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,logreg,44,80,0.75,0.6428571428571429,age_bin,<=25,0.16666666666666674,0.6923076923076923,0.35714285714285715,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,logreg,45,80,0.7625,0.7115384615384616,age_bin,26-45,0.3076923076923077,0.17142857142857143,0.28846153846153844,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,logreg,46,80,0.7125,0.5,age_bin,<=25,0.33333333333333337,0.5,0.2755102040816326,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,mlp,42,80,0.7,0.5294117647058824,age_bin,<=25,0.0,0.0,0.47058823529411764,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,mlp,43,80,0.6375,0.0,age_bin,65+,0.6666666666666667,1.0,0.7058823529411764,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,mlp,44,80,0.7,0.42857142857142855,age_bin,<=25,0.08333333333333337,0.33333333333333337,0.40476190476190477,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,mlp,45,80,0.725,0.6153846153846154,sex,female,0.038461538461538436,0.1428571428571429,0.38461538461538464,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,mlp,46,80,0.7,0.5,age_bin,<=25,0.0,0.0,0.25510204081632654,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,xgboost,42,80,0.775,0.5294117647058824,age_bin,<=25,0.23529411764705888,0.4166666666666667,0.47058823529411764,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,xgboost,43,80,0.8,0.7391304347826086,sex,female,0.275,0.6666666666666666,0.2608695652173913,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,xgboost,44,80,0.7625,0.5714285714285714,age_bin,<=25,0.19047619047619047,0.6153846153846154,0.42857142857142855,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,xgboost,45,80,0.7875,0.6923076923076923,sex,female,0.3076923076923077,0.3142857142857143,0.3076923076923077,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_00_n400,xgboost,46,80,0.8375,0.75,age_bin,46-65,0.2534013605442177,0.6,0.25,0.7170055899116313,0.5327166522722585,0.4597142857142857,0.22,,ML
german_credit,german_credit_slice_01_n500,logreg,42,100,0.74,0.5,age_bin,65+,0.4375,1.0,0.2586206896551724,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,logreg,43,100,0.81,0.7,age_bin,<=25,0.24285714285714288,0.18376068376068377,0.14482758620689654,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,logreg,44,100,0.76,0.6,age_bin,<=25,0.26086956521739135,0.4444444444444445,0.4,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,logreg,45,100,0.76,0.631578947368421,age_bin,46-65,0.30645161290322576,0.5793650793650793,0.3684210526315789,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,logreg,46,100,0.82,0.0,age_bin,65+,0.25,0.3214285714285714,0.8571428571428572,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,mlp,42,100,0.7,0.5,age_bin,65+,0.1875,0.6666666666666667,0.375,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,mlp,43,100,0.7,0.5909090909090909,age_bin,46-65,0.0,0.0,0.18495297805642635,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,mlp,44,100,0.68,0.5333333333333333,age_bin,<=25,0.19999999999999996,0.1633986928104575,0.4666666666666667,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,mlp,45,100,0.67,0.5666666666666667,sex,female,0.12903225806451613,0.2142857142857143,0.43333333333333335,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,mlp,46,100,0.71,0.0,age_bin,65+,0.016129032258064502,0.05555555555555558,0.8095238095238095,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,xgboost,42,100,0.79,0.6666666666666666,age_bin,46-65,0.25,0.5714285714285714,0.3333333333333333,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,xgboost,43,100,0.85,0.8,sex,female,0.09047619047619049,0.1527777777777778,0.1090909090909091,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,xgboost,44,100,0.84,0.6666666666666666,age_bin,<=25,0.3913043478260869,0.5,0.3333333333333333,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,xgboost,45,100,0.82,0.6666666666666666,age_bin,<=25,0.30645161290322576,0.37777777777777777,0.3333333333333333,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_01_n500,xgboost,46,100,0.84,0.7142857142857143,sex,female,0.8125,0.5714285714285714,0.2857142857142857,0.7259720834175893,0.5327166522736606,0.4605142857142857,0.224,,ML
german_credit,german_credit_slice_02_n600,logreg,42,120,0.775,0.65,age_bin,<=25,0.3047619047619048,0.2727272727272727,0.20714285714285713,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,logreg,43,120,0.7,0.5,age_bin,65+,0.30434782608695654,0.6000000000000001,0.3108108108108108,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,logreg,44,120,0.7083333333333334,0.5945945945945946,sex,female,0.4782608695652174,0.375,0.40540540540540543,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,logreg,45,120,0.7583333333333333,0.5,age_bin,65+,0.4,0.7777777777777778,0.3,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,logreg,46,120,0.8,0.6,age_bin,<=25,0.33333333333333337,0.5714285714285714,0.4,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
german_credit,german_credit_slice_02_n600,mlp,42,120,0.6333333333333333,0.5,age_bin,<=25,0.11250000000000004,0.18307210031347954,0.175,0.7355120834170592,0.5327166522750492,0.4600476190476191,0.22166666666666668,,ML
