dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
wine_quality,wine_quality_slice_00_n800,logreg,42,160,0.71875,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,logreg,43,160,0.78125,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,logreg,44,160,0.7125,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,logreg,45,160,0.675,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,logreg,46,160,0.6875,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,mlp,42,160,0.74375,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,mlp,43,160,0.75625,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,mlp,44,160,0.7375,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,mlp,45,160,0.66875,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,mlp,46,160,0.71875,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,xgboost,42,160,0.76875,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,xgboost,43,160,0.8,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,xgboost,44,160,0.78125,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,xgboost,45,160,0.7125,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_00_n800,xgboost,46,160,0.73125,,,,,,,0.8183290644173101,0.3940246115077885,,,,ML
wine_quality,wine_quality_slice_01_n1000,logreg,42,200,0.735,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,logreg,43,200,0.755,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,logreg,44,200,0.7,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,logreg,45,200,0.755,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,logreg,46,200,0.655,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,mlp,42,200,0.755,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,mlp,43,200,0.73,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,mlp,44,200,0.71,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
wine_quality,wine_quality_slice_01_n1000,mlp,45,200,0.765,,,,,,,0.8390836098702543,0.3940246115119798,,,,ML
